home_team,away_team,home_goals,away_goals,result,season
Portsmouth,Sunderland,1,0,1,1
Wigan Athletic,Derby County,2,0,1,1
Newcastle United,Manchester United,1,5,2,1
Reading,Aston Villa,1,2,2,1
Blackburn Rovers,Bolton Wanderers,4,1,1,1
Manchester City,Everton,0,2,2,1
Arsenal,Aston Villa,1,1,0,1
Birmingham City,Tottenham Hotspur,4,1,1,1
Derby County,Sunderland,0,0,0,1
Fulham,Manchester United,0,3,2,1
Middlesbrough,Reading,0,1,2,1
Newcastle United,Blackburn Rovers,0,1,2,1
West Ham United,Chelsea,0,4,2,1
Manchester City,Wigan Athletic,0,0,0,1
Bolton Wanderers,Liverpool,1,3,2,1
Everton,Portsmouth,3,1,1,1
Liverpool,West Ham United,4,0,1,1
Blackburn Rovers,Fulham,1,1,0,1
Liverpool,Newcastle United,3,0,1,1
Reading,Manchester City,2,0,1,1
Sunderland,Everton,0,1,2,1
Tottenham Hotspur,West Ham United,4,0,1,1
Wigan Athletic,Arsenal,0,0,0,1
Aston Villa,Middlesbrough,1,1,0,1
Portsmouth,Birmingham City,4,2,1,1
Chelsea,Derby County,6,1,1,1
Derby County,Manchester United,0,1,2,1
Liverpool,Reading,2,1,1,1
Portsmouth,Aston Villa,2,0,1,1
Sunderland,Chelsea,0,1,2,1
West Ham United,Blackburn Rovers,2,1,1,1
Arsenal,Middlesbrough,1,1,0,1
Fulham,Everton,1,0,1,1
Wigan Athletic,Bolton Wanderers,1,0,1,1
Manchester City,Tottenham Hotspur,2,1,1,1
Birmingham City,Newcastle United,1,1,0,1
Manchester United,Bolton Wanderers,2,0,1,1
Tottenham Hotspur,Chelsea,4,4,0,1
Tottenham Hotspur,Portsmouth,2,0,1,1
Aston Villa,Sunderland,0,1,2,1
Blackburn Rovers,Wigan Athletic,3,1,1,1
Bolton Wanderers,Manchester City,0,0,0,1
Middlesbrough,Derby County,1,0,1,1
Newcastle United,Fulham,2,0,1,1
Reading,Birmingham City,2,1,1,1
Everton,West Ham United,1,1,0,1
Manchester United,Liverpool,3,0,1,1
Chelsea,Arsenal,2,1,1,1
Birmingham City,Manchester City,3,1,1,1
Bolton Wanderers,Arsenal,2,3,2,1
Derby County,Fulham,2,2,0,1
Portsmouth,Wigan Athletic,2,0,1,1
Reading,Blackburn Rovers,0,0,0,1
Sunderland,West Ham United,2,1,1,1
Manchester United,Aston Villa,4,0,1,1
Chelsea,Middlesbrough,1,0,1,1
Tottenham Hotspur,Newcastle United,1,4,2,1
Liverpool,Everton,1,0,1,1
Arsenal,Liverpool,1,1,0,1
Aston Villa,Bolton Wanderers,4,0,1,1
Blackburn Rovers,Tottenham Hotspur,1,1,0,1
Fulham,Sunderland,1,3,2,1
Manchester City,Chelsea,0,2,2,1
Newcastle United,Reading,3,0,1,1
Wigan Athletic,Birmingham City,2,0,1,1
Middlesbrough,Manchester United,2,2,0,1
Everton,Derby County,1,0,1,1
West Ham United,Portsmouth,0,1,2,1
Birmingham City,Everton,1,1,0,1
Bolton Wanderers,West Ham United,1,0,1,1
Derby County,Aston Villa,0,6,2,1
Reading,Fulham,0,2,2,1
Sunderland,Manchester City,1,2,2,1
Tottenham Hotspur,Middlesbrough,1,1,0,1
Portsmouth,Newcastle United,0,0,0,1
Liverpool,Blackburn Rovers,3,1,1,1
Manchester United,Arsenal,2,1,1,1
Chelsea,Wigan Athletic,1,1,0,1
Everton,Chelsea,0,1,2,1
Arsenal,Reading,2,0,1,1
Fulham,Liverpool,0,2,2,1
Middlesbrough,Bolton Wanderers,0,1,2,1
West Ham United,Derby County,2,1,1,1
Wigan Athletic,Tottenham Hotspur,1,1,0,1
Blackburn Rovers,Manchester United,1,1,0,1
Aston Villa,Birmingham City,5,1,1,1
Newcastle United,Sunderland,2,0,1,1
Manchester City,Portsmouth,3,1,1,1
Chelsea,Manchester United,2,1,1,1
Birmingham City,Liverpool,2,2,0,1
Manchester City,Fulham,2,3,2,1
Sunderland,Middlesbrough,3,2,1,1
Tottenham Hotspur,Bolton Wanderers,1,1,0,1
West Ham United,Newcastle United,2,2,0,1
Wigan Athletic,Reading,0,0,0,1
Portsmouth,Blackburn Rovers,0,1,2,1
Everton,Aston Villa,2,2,0,1
Derby County,Arsenal,2,6,2,1
Manchester United,West Ham United,4,1,1,1
Aston Villa,Wigan Athletic,0,2,2,1
Blackburn Rovers,Derby County,3,1,1,1
Fulham,Birmingham City,2,0,1,1
Middlesbrough,Portsmouth,2,0,1,1
Reading,Tottenham Hotspur,0,1,2,1
Bolton Wanderers,Sunderland,2,0,1,1
Arsenal,Everton,1,0,1,1
Liverpool,Manchester City,1,0,1,1
Newcastle United,Chelsea,0,2,2,1
Birmingham City,Blackburn Rovers,4,1,1,1
Chelsea,Bolton Wanderers,1,1,0,1
Derby County,Reading,0,4,2,1
Everton,Newcastle United,3,1,1,1
Middlesbrough,Manchester City,8,1,1,1
Portsmouth,Fulham,0,1,2,1
Sunderland,Arsenal,0,1,2,1
Tottenham Hotspur,Liverpool,0,2,2,1
West Ham United,Aston Villa,2,2,0,1
Wigan Athletic,Manchester United,0,2,2,1
Arsenal,West Bromwich Albion,1,0,1,2
Bolton Wanderers,Stoke City,3,1,1,2
Everton,Blackburn Rovers,2,3,2,2
Hull City,Fulham,2,1,1,2
Middlesbrough,Tottenham Hotspur,2,1,1,2
West Ham United,Wigan Athletic,2,1,1,2
Sunderland,Liverpool,0,1,2,2
Chelsea,Portsmouth,4,0,1,2
Aston Villa,Manchester City,4,2,1,2
Manchester United,Newcastle United,1,1,0,2
Blackburn Rovers,Hull City,1,1,0,2
Liverpool,Middlesbrough,2,1,1,2
Newcastle United,Bolton Wanderers,1,0,1,2
Stoke City,Aston Villa,3,2,1,2
Tottenham Hotspur,Sunderland,1,2,2,2
West Bromwich Albion,Everton,1,2,2,2
Fulham,Arsenal,1,0,1,2
Wigan Athletic,Chelsea,0,1,2,2
Manchester City,West Ham United,3,0,1,2
Portsmouth,Manchester United,0,1,2,2
Bolton Wanderers,West Bromwich Albion,0,0,0,2
Everton,Portsmouth,0,3,2,2
Hull City,Wigan Athletic,0,5,2,2
Middlesbrough,Stoke City,2,1,1,2
West Ham United,Blackburn Rovers,4,1,1,2
Arsenal,Newcastle United,3,0,1,2
Chelsea,Tottenham Hotspur,1,1,0,2
Sunderland,Manchester City,0,3,2,2
Aston Villa,Liverpool,0,0,0,2
Liverpool,Manchester United,2,1,1,2
Blackburn Rovers,Arsenal,0,4,2,2
Fulham,Bolton Wanderers,2,1,1,2
Newcastle United,Hull City,1,2,2,2
Portsmouth,Middlesbrough,2,1,1,2
West Bromwich Albion,West Ham United,3,2,1,2
Wigan Athletic,Sunderland,1,1,0,2
Manchester City,Chelsea,1,3,2,2
Stoke City,Everton,2,3,2,2
Tottenham Hotspur,Aston Villa,1,2,2,2
Sunderland,Middlesbrough,2,0,1,2
Blackburn Rovers,Fulham,1,0,1,2
Liverpool,Stoke City,0,0,0,2
West Ham United,Newcastle United,3,1,1,2
Bolton Wanderers,Arsenal,1,3,2,2
West Bromwich Albion,Aston Villa,1,2,2,2
Chelsea,Manchester United,1,1,0,2
Hull City,Everton,2,2,0,2
Manchester City,Portsmouth,6,0,1,2
Tottenham Hotspur,Wigan Athletic,0,0,0,2
Everton,Liverpool,0,2,2,2
Aston Villa,Sunderland,2,1,1,2
Fulham,West Ham United,1,2,2,2
Manchester United,Bolton Wanderers,2,0,1,2
Middlesbrough,West Bromwich Albion,0,1,2,2
Newcastle United,Blackburn Rovers,1,2,2,2
Stoke City,Chelsea,0,2,2,2
Arsenal,Hull City,1,2,2,2
Portsmouth,Tottenham Hotspur,2,0,1,2
Wigan Athletic,Manchester City,2,1,1,2
Sunderland,Arsenal,1,1,0,2
West Bromwich Albion,Fulham,1,0,1,2
Wigan Athletic,Middlesbrough,0,1,2,2
Blackburn Rovers,Manchester United,0,2,2,2
West Ham United,Bolton Wanderers,1,3,2,2
Chelsea,Aston Villa,2,0,1,2
Manchester City,Liverpool,2,3,2,2
Portsmouth,Stoke City,2,1,1,2
Tottenham Hotspur,Hull City,0,1,2,2
Everton,Newcastle United,2,2,0,2
Middlesbrough,Chelsea,0,5,2,2
Arsenal,Everton,3,1,1,2
Aston Villa,Portsmouth,0,0,0,2
Bolton Wanderers,Blackburn Rovers,0,0,0,2
Fulham,Sunderland,0,0,0,2
Liverpool,Wigan Athletic,3,2,1,2
Manchester United,West Bromwich Albion,4,0,1,2
Hull City,West Ham United,1,0,1,2
Stoke City,Tottenham Hotspur,2,1,1,2
Newcastle United,Manchester City,2,2,0,2
Everton,Manchester United,1,1,0,2
Sunderland,Newcastle United,2,1,1,2
West Bromwich Albion,Hull City,0,3,2,2
Blackburn Rovers,Middlesbrough,1,1,0,2
Chelsea,Liverpool,0,1,2,2
Manchester City,Stoke City,3,0,1,2
Tottenham Hotspur,Bolton Wanderers,2,0,1,2
Wigan Athletic,Aston Villa,0,4,2,2
West Ham United,Arsenal,0,2,2,2
Portsmouth,Fulham,1,1,0,2
Newcastle United,West Bromwich Albion,2,1,1,2
Aston Villa,Blackburn Rovers,3,2,1,2
Fulham,Wigan Athletic,2,0,1,2
Hull City,Chelsea,0,3,2,2
Stoke City,Sunderland,1,0,1,2
Arsenal,Tottenham Hotspur,4,4,0,2
Bolton Wanderers,Everton,0,1,2,2
Liverpool,Portsmouth,1,0,1,2
Manchester United,West Ham United,2,0,1,2
Middlesbrough,Manchester City,2,0,1,2
Everton,Fulham,1,0,1,2
Chelsea,Sunderland,5,0,1,2
Manchester United,Hull City,4,3,1,2
Middlesbrough,West Ham United,1,1,0,2
Portsmouth,Wigan Athletic,1,2,2,2
Stoke City,Arsenal,2,1,1,2
West Bromwich Albion,Blackburn Rovers,2,2,0,2
Tottenham Hotspur,Liverpool,2,1,1,2
Bolton Wanderers,Manchester City,2,0,1,2
Newcastle United,Aston Villa,2,0,1,2
Arsenal,Manchester United,2,1,1,2
Wigan Athletic,Stoke City,0,0,0,2
Hull City,Bolton Wanderers,0,1,2,2
Sunderland,Portsmouth,1,2,2,2
West Ham United,Everton,1,3,2,2
Liverpool,West Bromwich Albion,3,0,1,2
Blackburn Rovers,Chelsea,0,2,2,2
Aston Villa,Middlesbrough,1,2,2,2
Manchester City,Tottenham Hotspur,1,2,2,2
Fulham,Newcastle United,2,1,1,2
Bolton Wanderers,Liverpool,0,2,2,2
Arsenal,Aston Villa,0,2,2,2
Blackburn Rovers,Sunderland,1,2,2,2
Fulham,Tottenham Hotspur,2,1,1,2
Manchester United,Stoke City,5,0,1,2
Newcastle United,Wigan Athletic,2,2,0,2
West Ham United,Portsmouth,0,0,0,2
West Bromwich Albion,Chelsea,0,3,2,2
Everton,Middlesbrough,1,1,0,2
Hull City,Manchester City,2,2,0,2
Chelsea,Newcastle United,0,0,0,2
Liverpool,Fulham,0,0,0,2
Manchester City,Arsenal,3,0,1,2
Middlesbrough,Bolton Wanderers,1,3,2,2
Portsmouth,Hull City,2,2,0,2
Stoke City,West Bromwich Albion,1,0,1,2
Aston Villa,Manchester United,0,0,0,2
Tottenham Hotspur,Blackburn Rovers,1,0,1,2
Sunderland,West Ham United,0,1,2,2
Wigan Athletic,Everton,1,0,1,2
Aston Villa,Fulham,0,0,0,2
Middlesbrough,Newcastle United,0,0,0,2
Stoke City,Hull City,1,1,0,2
Sunderland,Bolton Wanderers,1,4,2,2
Wigan Athletic,West Bromwich Albion,2,1,1,2
Manchester City,Manchester United,0,1,2,2
Portsmouth,Blackburn Rovers,3,2,1,2
Tottenham Hotspur,Everton,0,1,2,2
Chelsea,Arsenal,1,2,2,2
Liverpool,West Ham United,0,0,0,2
Fulham,Manchester City,1,1,0,2
Arsenal,Wigan Athletic,1,0,1,2
Blackburn Rovers,Liverpool,1,3,2,2
Bolton Wanderers,Chelsea,0,2,2,2
Hull City,Middlesbrough,2,1,1,2
Newcastle United,Stoke City,2,2,0,2
Manchester United,Sunderland,1,0,1,2
West Bromwich Albion,Portsmouth,1,1,0,2
Everton,Aston Villa,2,3,2,2
West Ham United,Tottenham Hotspur,0,2,2,2
Middlesbrough,Arsenal,1,1,0,2
Aston Villa,Bolton Wanderers,4,2,1,2
Liverpool,Hull City,2,2,0,2
Manchester City,Everton,0,1,2,2
Stoke City,Fulham,0,0,0,2
Sunderland,West Bromwich Albion,4,0,1,2
Wigan Athletic,Blackburn Rovers,3,0,1,2
Tottenham Hotspur,Manchester United,0,0,0,2
Portsmouth,Newcastle United,0,3,2,2
Chelsea,West Ham United,1,1,0,2
Blackburn Rovers,Stoke City,3,0,1,2
Bolton Wanderers,Portsmouth,2,1,1,2
Fulham,Middlesbrough,3,0,1,2
Hull City,Sunderland,1,4,2,2
West Ham United,Aston Villa,0,1,2,2
West Bromwich Albion,Manchester City,2,1,1,2
Newcastle United,Tottenham Hotspur,2,1,1,2
Arsenal,Liverpool,1,1,0,2
Everton,Chelsea,0,0,0,2
Stoke City,Manchester United,0,1,2,2
Chelsea,West Bromwich Albion,2,0,1,2
Portsmouth,West Ham United,1,4,2,2
Tottenham Hotspur,Fulham,0,0,0,2
Liverpool,Bolton Wanderers,3,0,1,2
Manchester City,Hull City,5,1,1,2
Middlesbrough,Everton,0,1,2,2
Sunderland,Blackburn Rovers,0,0,0,2
Wigan Athletic,Newcastle United,2,1,1,2
Aston Villa,Arsenal,2,2,0,2
Newcastle United,Liverpool,1,5,2,2
Arsenal,Portsmouth,1,0,1,2
Bolton Wanderers,Wigan Athletic,0,1,2,2
Everton,Sunderland,3,0,1,2
Fulham,Chelsea,2,2,0,2
West Bromwich Albion,Tottenham Hotspur,2,0,1,2
West Ham United,Stoke City,2,1,1,2
Blackburn Rovers,Manchester City,2,2,0,2
Manchester United,Middlesbrough,1,0,1,2
Hull City,Aston Villa,0,1,2,2
Aston Villa,West Bromwich Albion,2,1,1,2
Arsenal,Bolton Wanderers,1,0,1,2
Everton,Hull City,2,0,1,2
Middlesbrough,Sunderland,1,1,0,2
Newcastle United,West Ham United,2,2,0,2
Stoke City,Liverpool,0,0,0,2
Wigan Athletic,Tottenham Hotspur,1,0,1,2
Manchester United,Chelsea,3,0,1,2
Manchester United,Wigan Athletic,1,0,1,2
Blackburn Rovers,Newcastle United,3,0,1,2
Bolton Wanderers,Manchester United,0,1,2,2
Chelsea,Stoke City,2,1,1,2
Manchester City,Wigan Athletic,1,0,1,2
Sunderland,Aston Villa,1,2,2,2
West Bromwich Albion,Middlesbrough,3,0,1,2
Hull City,Arsenal,1,3,2,2
West Ham United,Fulham,3,1,1,2
Tottenham Hotspur,Portsmouth,1,1,0,2
Liverpool,Everton,1,1,0,2
Sunderland,Fulham,1,0,1,2
West Bromwich Albion,Manchester United,0,5,2,2
Portsmouth,Aston Villa,0,1,2,2
Tottenham Hotspur,Stoke City,3,1,1,2
Chelsea,Middlesbrough,2,0,1,2
Manchester City,Newcastle United,2,1,1,2
Wigan Athletic,Liverpool,1,1,0,2
Blackburn Rovers,Bolton Wanderers,2,2,0,2
Everton,Arsenal,1,1,0,2
West Ham United,Hull City,2,0,1,2
Stoke City,Manchester City,1,0,1,2
Arsenal,West Ham United,0,0,0,2
Aston Villa,Wigan Athletic,0,0,0,2
Bolton Wanderers,Tottenham Hotspur,3,2,1,2
Fulham,Portsmouth,3,1,1,2
Hull City,West Bromwich Albion,2,2,0,2
Middlesbrough,Blackburn Rovers,0,0,0,2
Manchester United,Everton,1,0,1,2
Newcastle United,Sunderland,1,1,0,2
Liverpool,Chelsea,2,0,1,2
Manchester City,Middlesbrough,1,0,1,2
Blackburn Rovers,Aston Villa,0,2,2,2
Chelsea,Hull City,0,0,0,2
Everton,Bolton Wanderers,3,0,1,2
Sunderland,Stoke City,2,0,1,2
West Bromwich Albion,Newcastle United,2,3,2,2
Wigan Athletic,Fulham,0,0,0,2
Portsmouth,Liverpool,2,3,2,2
Tottenham Hotspur,Arsenal,0,0,0,2
West Ham United,Manchester United,0,1,2,2
Portsmouth,Manchester City,2,0,1,2
Manchester United,Fulham,3,0,1,2
Aston Villa,Chelsea,0,1,2,2
Arsenal,Sunderland,0,0,0,2
Bolton Wanderers,West Ham United,2,1,1,2
Middlesbrough,Wigan Athletic,0,0,0,2
Stoke City,Portsmouth,2,2,0,2
Manchester United,Blackburn Rovers,2,1,1,2
Fulham,West Bromwich Albion,2,0,1,2
Liverpool,Manchester City,1,1,0,2
Newcastle United,Everton,0,0,0,2
Hull City,Tottenham Hotspur,1,2,2,2
Everton,West Bromwich Albion,2,0,1,2
Arsenal,Fulham,0,0,0,2
Chelsea,Wigan Athletic,2,1,1,2
Middlesbrough,Liverpool,2,0,1,2
Hull City,Blackburn Rovers,1,2,2,2
West Ham United,Manchester City,1,0,1,2
Bolton Wanderers,Newcastle United,1,0,1,2
Aston Villa,Stoke City,2,2,0,2
Portsmouth,Chelsea,0,1,2,2
West Bromwich Albion,Arsenal,1,3,2,2
Liverpool,Sunderland,2,0,1,2
Manchester City,Aston Villa,2,0,1,2
Newcastle United,Manchester United,1,2,2,2
Stoke City,Bolton Wanderers,2,0,1,2
Wigan Athletic,West Ham United,0,1,2,2
Blackburn Rovers,Everton,0,0,0,2
Fulham,Hull City,0,1,2,2
Tottenham Hotspur,Middlesbrough,4,0,1,2
Sunderland,Tottenham Hotspur,1,1,0,2
Fulham,Blackburn Rovers,1,2,2,2
Manchester United,Liverpool,1,4,2,2
Arsenal,Blackburn Rovers,4,0,1,2
Bolton Wanderers,Fulham,1,3,2,2
Everton,Stoke City,3,1,1,2
Hull City,Newcastle United,1,1,0,2
Middlesbrough,Portsmouth,1,1,0,2
Sunderland,Wigan Athletic,1,2,2,2
Chelsea,Manchester City,1,0,1,2
Aston Villa,Tottenham Hotspur,1,2,2,2
West Ham United,West Bromwich Albion,0,0,0,2
Portsmouth,Everton,2,1,1,2
Blackburn Rovers,West Ham United,1,1,0,2
Fulham,Manchester United,2,0,1,2
Stoke City,Middlesbrough,1,0,1,2
Tottenham Hotspur,Chelsea,1,0,1,2
West Bromwich Albion,Bolton Wanderers,1,1,0,2
Newcastle United,Arsenal,1,3,2,2
Wigan Athletic,Hull City,1,0,1,2
Manchester City,Sunderland,1,0,1,2
Liverpool,Aston Villa,5,0,1,2
Blackburn Rovers,Tottenham Hotspur,2,1,1,2
Arsenal,Manchester City,2,0,1,2
Bolton Wanderers,Middlesbrough,4,1,1,2
Hull City,Portsmouth,0,0,0,2
Newcastle United,Chelsea,0,2,2,2
West Bromwich Albion,Stoke City,0,2,2,2
West Ham United,Sunderland,2,0,1,2
Fulham,Liverpool,0,1,2,2
Everton,Wigan Athletic,4,0,1,2
Manchester United,Aston Villa,3,2,1,2
Liverpool,Blackburn Rovers,4,0,1,2
Chelsea,Bolton Wanderers,4,3,1,2
Middlesbrough,Hull City,3,1,1,2
Portsmouth,West Bromwich Albion,2,2,0,2
Sunderland,Manchester United,1,2,2,2
Tottenham Hotspur,West Ham United,1,0,1,2
Wigan Athletic,Arsenal,1,4,2,2
Stoke City,Newcastle United,1,1,0,2
Aston Villa,Everton,3,3,0,2
Manchester City,Fulham,1,3,2,2
Aston Villa,West Ham United,1,1,0,2
Middlesbrough,Fulham,0,0,0,2
Portsmouth,Bolton Wanderers,1,0,1,2
Stoke City,Blackburn Rovers,1,0,1,2
Sunderland,Hull City,1,0,1,2
Tottenham Hotspur,Newcastle United,1,0,1,2
Manchester City,West Bromwich Albion,4,2,1,2
Liverpool,Arsenal,4,4,0,2
Chelsea,Everton,0,0,0,2
Manchester United,Portsmouth,2,0,1,2
Bolton Wanderers,Aston Villa,1,1,0,2
Everton,Manchester City,1,2,2,2
Fulham,Stoke City,1,0,1,2
Hull City,Liverpool,1,3,2,2
West Bromwich Albion,Sunderland,3,0,1,2
West Ham United,Chelsea,0,1,2,2
Manchester United,Tottenham Hotspur,5,2,1,2
Arsenal,Middlesbrough,2,0,1,2
Blackburn Rovers,Wigan Athletic,2,0,1,2
Newcastle United,Portsmouth,0,0,0,2
Middlesbrough,Manchester United,0,2,2,2
Chelsea,Fulham,3,1,1,2
Manchester City,Blackburn Rovers,3,1,1,2
Portsmouth,Arsenal,0,3,2,2
Stoke City,West Ham United,0,1,2,2
Tottenham Hotspur,West Bromwich Albion,1,0,1,2
Wigan Athletic,Bolton Wanderers,0,0,0,2
Liverpool,Newcastle United,3,0,1,2
Sunderland,Everton,0,2,2,2
Aston Villa,Hull City,1,0,1,2
Blackburn Rovers,Portsmouth,2,0,1,2
Bolton Wanderers,Sunderland,0,0,0,2
Everton,Tottenham Hotspur,0,0,0,2
Fulham,Aston Villa,3,1,1,2
Hull City,Stoke City,1,2,2,2
West Bromwich Albion,Wigan Athletic,3,1,1,2
West Ham United,Liverpool,0,3,2,2
Manchester United,Manchester City,2,0,1,2
Arsenal,Chelsea,1,4,2,2
Newcastle United,Middlesbrough,3,1,1,2
Wigan Athletic,Manchester United,1,2,2,2
Manchester United,Arsenal,0,0,0,2
Bolton Wanderers,Hull City,1,1,0,2
Everton,West Ham United,3,1,1,2
Middlesbrough,Aston Villa,1,1,0,2
Newcastle United,Fulham,0,1,2,2
Stoke City,Wigan Athletic,2,0,1,2
Tottenham Hotspur,Manchester City,2,1,1,2
West Bromwich Albion,Liverpool,0,2,2,2
Chelsea,Blackburn Rovers,2,0,1,2
Portsmouth,Sunderland,3,1,1,2
Arsenal,Stoke City,4,1,1,2
Aston Villa,Newcastle United,1,0,1,2
Blackburn Rovers,West Bromwich Albion,0,0,0,2
Fulham,Everton,0,2,2,2
Hull City,Manchester United,0,1,2,2
Liverpool,Tottenham Hotspur,3,1,1,2
Manchester City,Bolton Wanderers,1,0,1,2
Sunderland,Chelsea,2,3,2,2
West Ham United,Middlesbrough,2,1,1,2
Wigan Athletic,Portsmouth,1,0,1,2
Chelsea,Hull City,2,1,1,3
Aston Villa,Wigan Athletic,0,2,2,3
Blackburn Rovers,Manchester City,0,2,2,3
Bolton Wanderers,Sunderland,0,1,2,3
Portsmouth,Fulham,0,1,2,3
Stoke City,Burnley,2,0,1,3
Wolverhampton Wanderers,West Ham United,0,2,2,3
Everton,Arsenal,1,6,2,3
Manchester United,Birmingham City,1,0,1,3
Tottenham Hotspur,Liverpool,2,1,1,3
Sunderland,Chelsea,1,3,2,3
Wigan Athletic,Wolverhampton Wanderers,0,1,2,3
Birmingham City,Portsmouth,1,0,1,3
Burnley,Manchester United,1,0,1,3
Hull City,Tottenham Hotspur,1,5,2,3
Liverpool,Stoke City,4,0,1,3
Arsenal,Portsmouth,4,1,1,3
Birmingham City,Stoke City,0,0,0,3
Hull City,Bolton Wanderers,1,0,1,3
Manchester City,Wolverhampton Wanderers,1,0,1,3
Sunderland,Blackburn Rovers,2,1,1,3
Wigan Athletic,Manchester United,0,5,2,3
West Ham United,Tottenham Hotspur,1,2,2,3
Burnley,Everton,1,0,1,3
Fulham,Chelsea,0,2,2,3
Liverpool,Aston Villa,1,3,2,3
Chelsea,Burnley,3,0,1,3
Blackburn Rovers,West Ham United,0,0,0,3
Bolton Wanderers,Liverpool,2,3,2,3
Stoke City,Sunderland,1,0,1,3
Tottenham Hotspur,Birmingham City,2,1,1,3
Wolverhampton Wanderers,Hull City,1,1,0,3
Manchester United,Arsenal,2,1,1,3
Portsmouth,Manchester City,0,1,2,3
Everton,Wigan Athletic,2,1,1,3
Aston Villa,Fulham,2,0,1,3
Blackburn Rovers,Wolverhampton Wanderers,3,1,1,3
Liverpool,Burnley,4,0,1,3
Manchester City,Arsenal,4,2,1,3
Portsmouth,Bolton Wanderers,2,3,2,3
Stoke City,Chelsea,1,2,2,3
Sunderland,Hull City,4,1,1,3
Wigan Athletic,West Ham United,1,0,1,3
Tottenham Hotspur,Manchester United,1,3,2,3
Birmingham City,Aston Villa,0,1,2,3
Fulham,Everton,2,1,1,3
Burnley,Sunderland,3,1,1,3
Arsenal,Wigan Athletic,4,0,1,3
Aston Villa,Portsmouth,2,0,1,3
Bolton Wanderers,Stoke City,1,1,0,3
Hull City,Birmingham City,0,1,2,3
West Ham United,Liverpool,2,3,2,3
Manchester United,Manchester City,4,3,1,3
Wolverhampton Wanderers,Fulham,2,1,1,3
Everton,Blackburn Rovers,3,0,1,3
Chelsea,Tottenham Hotspur,3,0,1,3
Portsmouth,Everton,0,1,2,3
Birmingham City,Bolton Wanderers,1,2,2,3
Blackburn Rovers,Aston Villa,2,1,1,3
Liverpool,Hull City,6,1,1,3
Stoke City,Manchester United,0,2,2,3
Tottenham Hotspur,Burnley,5,0,1,3
Wigan Athletic,Chelsea,3,1,1,3
Fulham,Arsenal,0,1,2,3
Sunderland,Wolverhampton Wanderers,5,2,1,3
Manchester City,West Ham United,3,1,1,3
Bolton Wanderers,Tottenham Hotspur,2,2,0,3
Burnley,Birmingham City,2,1,1,3
Hull City,Wigan Athletic,2,1,1,3
Wolverhampton Wanderers,Portsmouth,0,1,2,3
Manchester United,Sunderland,2,2,0,3
Arsenal,Blackburn Rovers,6,2,1,3
Everton,Stoke City,1,1,0,3
West Ham United,Fulham,2,2,0,3
Chelsea,Liverpool,2,0,1,3
Aston Villa,Manchester City,1,1,0,3
Aston Villa,Chelsea,2,1,1,3
Arsenal,Birmingham City,3,1,1,3
Everton,Wolverhampton Wanderers,1,1,0,3
Manchester United,Bolton Wanderers,2,1,1,3
Portsmouth,Tottenham Hotspur,1,2,2,3
Stoke City,West Ham United,2,1,1,3
Sunderland,Liverpool,1,0,1,3
Blackburn Rovers,Burnley,3,2,1,3
Wigan Athletic,Manchester City,1,1,0,3
Fulham,Hull City,2,0,1,3
Wolverhampton Wanderers,Aston Villa,1,1,0,3
Birmingham City,Sunderland,2,1,1,3
Burnley,Wigan Athletic,1,3,2,3
Hull City,Portsmouth,0,0,0,3
Tottenham Hotspur,Stoke City,0,1,2,3
Chelsea,Blackburn Rovers,5,0,1,3
Bolton Wanderers,Everton,3,2,1,3
Liverpool,Manchester United,2,0,1,3
Manchester City,Fulham,2,2,0,3
West Ham United,Arsenal,2,2,0,3
Arsenal,Tottenham Hotspur,3,0,1,3
Bolton Wanderers,Chelsea,0,4,2,3
Burnley,Hull City,2,0,1,3
Everton,Aston Villa,1,1,0,3
Fulham,Liverpool,3,1,1,3
Portsmouth,Wigan Athletic,4,0,1,3
Stoke City,Wolverhampton Wanderers,2,2,0,3
Sunderland,West Ham United,2,2,0,3
Manchester United,Blackburn Rovers,2,0,1,3
Birmingham City,Manchester City,0,0,0,3
West Ham United,Aston Villa,2,1,1,3
Aston Villa,Bolton Wanderers,5,1,1,3
Blackburn Rovers,Portsmouth,3,1,1,3
Manchester City,Burnley,3,3,0,3
Tottenham Hotspur,Sunderland,2,0,1,3
Wolverhampton Wanderers,Arsenal,1,4,2,3
Hull City,Stoke City,2,1,1,3
West Ham United,Everton,1,2,2,3
Wigan Athletic,Fulham,1,1,0,3
Chelsea,Manchester United,1,0,1,3
Liverpool,Birmingham City,2,2,0,3
Liverpool,Manchester City,2,2,0,3
Birmingham City,Fulham,1,0,1,3
Burnley,Aston Villa,1,1,0,3
Chelsea,Wolverhampton Wanderers,4,0,1,3
Hull City,West Ham United,3,3,0,3
Sunderland,Arsenal,1,0,1,3
Manchester United,Everton,3,0,1,3
Bolton Wanderers,Blackburn Rovers,0,2,2,3
Tottenham Hotspur,Wigan Athletic,9,1,1,3
Stoke City,Portsmouth,1,0,1,3
Hull City,Everton,3,2,1,3
Fulham,Blackburn Rovers,3,0,1,3
Blackburn Rovers,Stoke City,0,0,0,3
Fulham,Bolton Wanderers,1,1,0,3
Manchester City,Hull City,1,1,0,3
Portsmouth,Manchester United,1,4,2,3
West Ham United,Burnley,5,3,1,3
Wigan Athletic,Sunderland,1,0,1,3
Aston Villa,Tottenham Hotspur,1,1,0,3
